cust_id,transformer_id,timestamp,kw_usage,voltage,current,pf,short_circuit,meter_reset,meter_reverse,transformer_total
CUST0001,T1,2025-12-29 03:02:55.727415,1.946282939447212,217.134110164668,1.7997948889672242,0.8414227233272897,0,0,0,60.0
CUST0001,T1,2025-12-29 03:17:55.727415,1.965474011277432,215.8645462424364,1.9054550904045469,0.7981128477613086,0,0,0,60.0
CUST0001,T1,2025-12-29 03:32:55.727415,1.7601794250623382,220.72593002380816,1.8935976003669144,0.877134158293726,0,0,0,60.0
CUST0001,T1,2025-12-29 03:47:55.727415,1.942635108810237,226.0435407026556,2.3224943716878084,0.9043002748219716,0,0,0,60.0
CUST0001,T1,2025-12-29 04:02:55.727415,1.9547988640377725,223.38623529476675,1.940228243782324,0.8763471695516676,0,0,0,60.0
CUST0001,T1,2025-12-29 04:17:55.727415,1.7533140857727627,219.1779650778608,2.727873097315847,0.8586061395308372,0,0,0,60.0
CUST0001,T1,2025-12-29 04:32:55.727415,2.269339271606988,211.04338283699727,2.2817962689495603,0.7748950016488767,0,0,0,60.0
CUST0001,T1,2025-12-29 04:47:55.727415,1.9909509535603933,228.8302705722789,2.4839367818337226,0.8495046784987255,0,0,0,60.0
CUST0001,T1,2025-12-29 05:02:55.727415,1.6579236699375066,223.38356955856017,2.296796259943974,0.8590948794689274,0,0,0,60.0
CUST0001,T1,2025-12-29 05:17:55.727415,2.027495091104802,213.3169642710976,1.8774317690218776,0.8203093967543984,0,0,0,60.0
CUST0001,T1,2025-12-29 05:32:55.727415,1.701248035332572,203.9105346534373,1.6463215585453974,0.885882121562938,0,0,0,60.0
CUST0001,T1,2025-12-29 05:47:55.727415,2.053601290126527,217.0273826201144,2.0876362671485933,0.885812411382679,0,0,0,60.0
CUST0001,T1,2025-12-29 06:02:55.727415,2.127903485179517,222.15607313481053,1.8502518603844067,0.7999223306186796,0,0,0,60.0
CUST0001,T1,2025-12-29 06:17:55.727415,1.732047905707694,216.46152466153376,1.8342545320536257,0.8392546224811233,0,0,0,60.0
CUST0001,T1,2025-12-29 06:32:55.727415,2.0888595952269005,219.86234827162085,2.331385282839266,0.929735806157246,0,0,0,60.0
CUST0001,T1,2025-12-29 06:47:55.727415,1.978740554765336,226.96931915027588,1.916022751739364,0.8584342722451125,0,0,0,60.0
